CPU Cycles,Originator,Data Received,Time elapsed in uS,Time Delta in uS,CRC,Data Interpretation,Further Details,APDU,APDU Basic Info,APDU Detailed Info
85c6a6ee,U00,"",0,0,,UNABLE TO INTERPRET,
85ebacef,Uf8,"52",14442,14442,,UNABLE TO INTERPRET,
8610055a,U00,"",28620,14178,,UNABLE TO INTERPRET,
8621f9e2,Uf8,"52",35625,7004,,UNABLE TO INTERPRET,
8622632c,TAG,"04 00",35785,160,,UNABLE TO INTERPRET,
8624e78c,RDR,"50 00 57 cd",36767,981,CRC MATCH: (0x57 0xcd),HLTA command,
8639eebf,U00,"",44970,8202,,UNABLE TO INTERPRET,
86520ef3,Uf8,"52",54381,9411,,UNABLE TO INTERPRET,
86527e76,TAG,"04 00",54551,169,,UNABLE TO INTERPRET,
86551b7d,RDR,"93 20",55571,1019,,UNABLE TO INTERPRET,
8655cf2c,TAG,"e6 3c c0 5d 47",55844,273,,UNABLE TO INTERPRET,
86590d3e,RDR,"93 70 e6 3c c0 5d 47 8a 4d",57109,1264,,UNABLE TO INTERPRET,
865b40ed,TAG,"08 b6 dd",57968,858,,UNABLE TO INTERPRET,
8f493760,RDR,"",949711,891743,,UNABLE TO INTERPRET,
8f77691f,RDR,"52",967732,18020,CRC N/A (or Short Frame),WUPA command,
8f77d284,TAG,"04 00",967892,160,CRC N/A (or Short Frame),ATQA command,
,,,,,,,Value 0x04 at offset 0,
,,,,,,,Byte 0,
,,,,,,,Byte 0 B7..6 UID size: single (4 bytes),
,,,,,,,Byte 0 B4..0 Bit frame anticollision,
,,,,,,,Value 0x00 at offset 1,
,,,,,,,Byte 1,
,,,,,,,Byte 1 B7 RFU,
,,,,,,,Byte 1 B6 RFU,
,,,,,,,Byte 1 B5 RFU,
,,,,,,,Byte 1 B4 RFU,
9096ef52,RDR,"50 00 57 cd",1079893,112001,CRC MATCH: (0x57 0xcd),HLTA command,
90b5d5f9,U00,"",1091948,12054,,UNABLE TO INTERPRET,
90b613e4,Uff,"6a",1092042,94,,UNABLE TO INTERPRET,
90b6581b,Uff,"",1092146,103,,UNABLE TO INTERPRET,
90b695f3,Uff,"",1092240,94,,UNABLE TO INTERPRET,
90b6bb39,U00,"",1092297,56,,UNABLE TO INTERPRET,
90b6da25,U00,"c6 19",1092344,47,,UNABLE TO INTERPRET,
90b793fd,Uff,"",1092627,283,,UNABLE TO INTERPRET,
9194f1af,RDR,"52",1178981,86353,CRC N/A (or Short Frame),WUPA command,
91955aee,TAG,"04 00",1179142,160,CRC N/A (or Short Frame),ATQA command,
,,,,,,,Value 0x04 at offset 0,
,,,,,,,Byte 0,
,,,,,,,Byte 0 B7..6 UID size: single (4 bytes),
,,,,,,,Byte 0 B4..0 Bit frame anticollision,
,,,,,,,Value 0x00 at offset 1,
,,,,,,,Byte 1,
,,,,,,,Byte 1 B7 RFU,
,,,,,,,Byte 1 B6 RFU,
,,,,,,,Byte 1 B5 RFU,
,,,,,,,Byte 1 B4 RFU,
9197f7fd,RDR,"93 20",1180161,1019,CRC N/A (or Short Frame),SELECT ANTICOLLISION 1 command,
9198abb1,TAG,"e6 3c c0 5d 47",1180435,273,CRC N/A (or Short Frame),ANTICOLLISION1 UID response command,
,,,,,,,Value 0xe6 at offset 0,
,,,,,,,Byte 0 UID,
,,,,,,,Value 0x3c at offset 1,
,,,,,,,Byte 1 UID,
,,,,,,,Value 0xc0 at offset 2,
,,,,,,,Byte 2 UID,
,,,,,,,Value 0x5d at offset 3,
,,,,,,,Byte 3 UID,
,,,,,,,Value 0x47 at offset 4,
,,,,,,,Byte 3 BCC,
,,,,,,,BCC match 0x47,
919c1527,RDR,"93 70 e6 3c c0 5d 47 8a 4d",1181766,1330,CRC MATCH: (0x8a 0x4d),SELECT Cascade Level 1 command,
919e48ec,TAG,"08 b6 dd",1182625,859,CRC MATCH: (0xb6 0xdd),SAK response,
,,,,,,,PICC is NOT compliant with ISO/IEC 14443-4,
,,,,,,,Cascade bit: UID is complete,
,,,,,,,Full UID is: e6 3c c0 5d,
91c22bb7,RDR,"60 04 d1 3d",1196624,13998,CRC MATCH: (0xd1 0x3d),Mifare Classic Auth A command,
91c3f613,TAG,"f8 a5 c7 de",1197322,698,CRC N/A (or Short Frame),Mifare Classic Auth A response command,
,,,,,,,Value 0xf8 at offset 0,
,,,,,,,Byte 0 Challenge 1 (Random Number),
,,,,,,,Value 0xa5 at offset 1,
,,,,,,,Byte 1 Challenge 1 (Random Number),
,,,,,,,Value 0xc7 at offset 2,
,,,,,,,Byte 2 Challenge 1 (Random Number),
,,,,,,,Value 0xde at offset 3,
,,,,,,,Byte 3 Challenge 1 (Random Number),
91c51f63,RDR,"dd 67 0b dc 00 1c c1 19",1197775,453,CRC N/A (or Short Frame),Mifare Classic Auth A command part 2,
,,,,,,,Value 0xdd at offset 0,
,,,,,,,Byte 0 Challenge 2 (encrypted data),
,,,,,,,Value 0x67 at offset 1,
,,,,,,,Byte 1 Challenge 2 (encrypted data),
,,,,,,,Value 0x0b at offset 2,
,,,,,,,Byte 2 Challenge 2 (encrypted data),
,,,,,,,Value 0xdc at offset 3,
,,,,,,,Byte 3 Challenge 2 (encrypted data),
,,,,,,,Value 0x00 at offset 4,
,,,,,,,Byte 4 Challenge 2 (encrypted data),
,,,,,,,Value 0x1c at offset 5,
,,,,,,,Byte 5 Challenge 2 (encrypted data),
,,,,,,,Value 0xc1 at offset 6,
,,,,,,,Byte 6 Challenge 2 (encrypted data),
,,,,,,,Value 0x19 at offset 7,
,,,,,,,Byte 7 Challenge 2 (encrypted data),
